id,score_phrase,title,platform,score,
5975,Amazing,Madden NFL 2005,PlayStation 2,9.5,
5976,Amazing,Fatal Force,Wireless,9.2,
5977,Good,The Price is Right: Cliffhangers,Wireless,7.5,
5978,Painful,Thunder Alley,Game Boy Advance,2,
5979,Mediocre,Driver 3,PlayStation 2,5.4,
5980,Great,The Fast and the Furious,Wireless,8.5,
5981,Good,Ashen [2004],N-Gage,7.5,
5982,Great,Uru: Path of the Shell,PC,8.8,
5983,Great,Tom Clancy's Splinter Cell Pandora Tomorrow,GameCube,8,
5984,Mediocre,Pokemon Box: Ruby and Sapphire,GameCube,5,
5985,Good,Air Wars,Wireless,7,
5986,Good,FlipIt!,Wireless,7,
5987,Good,Crimson Tears,PlayStation 2,7.1,
5988,Bad,Catwoman,Xbox,4,
5989,Good,Sudeki,Xbox,7.8,
5990,Great,Siberian Strike: Episode II,Wireless,8.5,
5991,Great,Tales of Symphonia,GameCube,8.5,
5992,Good,Pool Paradise,PlayStation 2,7.6,
5993,Good,The Guy Game,PlayStation 2,7.7,
5994,Good,Baseball Heroes of the MLBPAA,Wireless,7.3,
5995,Great,Duel Masters: Sempai Legends,Game Boy Advance,8,
5996,Great,WWE Day of Reckoning,GameCube,8.3,
5997,Great,Galleon,Xbox,8.2,
5998,Awful,Sitting Ducks,Game Boy Advance,3,
5999,Okay,Catwoman,Game Boy Advance,6.5,
6000,Good,Scooby-Doo 2: Dark Dungeons,Wireless,7,
6001,Bad,Catwoman,GameCube,4,
6002,Bad,Catwoman,PlayStation 2,4,
6003,Great,MTV Music Generator 3: This is the Remix,Xbox,8.4,
6004,Good,Street Racing Syndicate,Xbox,7.1,
6005,Good,Street Racing Syndicate,GameCube,7.1,
6006,Amazing,Fable,Xbox,9.3,
6007,Okay,Alpha Black Zero: Intrepid Protocol,PC,6,
6008,Good,Street Racing Syndicate,PlayStation 2,7.1,
6009,Okay,Test Drive: Eve of Destruction,PlayStation 2,6.5,
6010,Great,Chessmaster 10th Edition,PC,8.4,
6011,Okay,Test Drive: Eve of Destruction,Xbox,6.5,
6012,Bad,Astro Boy [2004],PlayStation 2,4,
6013,Great,Street Fighter Anniversary Collection,PlayStation 2,8.5,
6014,Great,Predator,Wireless,8.7,
6015,Good,Dog's Life,PlayStation 2,7,
6016,Okay,Amazing Island,GameCube,6.7,
6017,Painful,Bubble Bobble,Wireless,2,
6018,Good,MLB Slam 2004,Wireless,7.7,
6019,Amazing,Pikmin 2,GameCube,9.3,
6020,Amazing,Viewtiful Joe,PlayStation 2,9.1,
6021,Okay,Mega Man Battle Network 4: Red Sun,Game Boy Advance,6.5,
6022,Okay,Bomberman,N-Gage,6,
6023,Okay,Mega Man Battle Network 4: Blue Moon,Game Boy Advance,6.5,
6024,Great,JAMDAT Sports NFL 2005,Wireless,8.7,
6025,Mediocre,Fairly OddParents: Shadow Showdown,GameCube,5,
6026,Mediocre,Fairly OddParents: Shadow Showdown,PlayStation 2,5,
6027,Amazing,Pokemon LeafGreen Version,Game Boy Advance,9,
6028,Amazing,Sly 2: Band of Thieves,PlayStation 2,9.2,
6029,Amazing,Pokemon FireRed Version,Game Boy Advance,9,
6030,Mediocre,Carmen Sandiego: The Secret of the Stolen Drums,GameCube,5.6,
6031,Mediocre,Carmen Sandiego: The Secret of the Stolen Drums,PlayStation 2,5.6,
6032,Mediocre,Carmen Sandiego: The Secret of the Stolen Drums,Xbox,5.6,
6033,Good,Pro Fishing Challenge,Xbox,7.2,
6034,Amazing,Burnout 3: Takedown,Xbox,9.5,
6035,Amazing,Burnout 3: Takedown,PlayStation 2,9.4,
6036,Good,Dynasty Warriors 4: Empires,PlayStation 2,7.7,
6037,Amazing,ESPN NHL 2K5,PlayStation 2,9.2,
6038,Great,NFL Football 2005,Wireless,8.5,
6039,Amazing,ESPN NHL 2K5,Xbox,9.2,
6040,Good,Gallop Racer 2004,PlayStation 2,7.2,
6041,Good,Cabela's Deer Hunt: 2005 Season,PlayStation 2,7.3,
6042,Great,Phantom Brave,PlayStation 2,8.6,
6043,Amazing,NASCAR 2005: Chase for the Cup,PlayStation 2,9.2,
6044,Amazing,NASCAR 2005: Chase for the Cup,GameCube,9,
6045,Good,The Guy Game,Xbox,7.7,
6046,Amazing,NASCAR 2005: Chase for the Cup,Xbox,9.2,
6047,Okay,Echo Night: Beyond,PlayStation 2,6,
6048,Good,Spy Fiction,PlayStation 2,7.3,
6049,Good,Bush vs. Kerry Boxing,Wireless,7.9,
6050,Great,NHL 2005,GameCube,8.3,
6051,Good,The Political Machine,PC,7.9,
6052,Great,NHL 2005,PlayStation 2,8.3,
6053,Mediocre,ShellShock: Nam '67,PlayStation 2,5.8,
6054,Great,Def Jam: Fight for NY,PlayStation 2,8.7,
6055,Good,Star Wars Battlefront [2004],PC,7.5,
6056,Great,Def Jam: Fight for NY,GameCube,8.7,
6057,Great,Def Jam: Fight for NY,Xbox,8.7,
6058,Great,Star Wars Battlefront [2004],Xbox,8.5,
6059,Mediocre,Vietcong: Purple Haze,Xbox,5.5,
6060,Great,Star Wars Battlefront [2004],PlayStation 2,8.4,
6061,Great,"Codename: Panzers, Phase One",PC,8.3,
6062,Amazing,Katamari Damacy,PlayStation 2,9,
6063,Good,Forgotten Realms: Demon Stone,PlayStation 2,7.3,
6064,Good,Second Sight,GameCube,7.9,
6065,Good,Second Sight,PlayStation 2,7.9,
6066,Good,Second Sight,Xbox,7.9,
6067,Great,MotoGP 2,Wireless,8.3,
6068,Good,SpongeBob Squarepants Darts,Wireless,7.4,
6069,Good,Headhunter: Redemption,Xbox,7,
6070,Good,Headhunter: Redemption,PlayStation 2,7,
6071,Great,Mega Man X: Command Mission,GameCube,8.4,
6072,Great,Call of Duty: United Offensive,PC,8.4,
6073,Okay,Advance Guardian Heroes,Game Boy Advance,6,
6074,Great,Mega Man X: Command Mission,PlayStation 2,8.3,
6075,Good,Gradius V,PlayStation 2,7.7,
6076,Good,Dungeon Storm,Wireless,7,
6077,Great,Neverwinter Nights,Wireless,8.6,
6078,Good,Digimon Rumble Arena 2,GameCube,7,
6079,Good,Digimon Rumble Arena 2,Xbox,7,
6080,Okay,Alien vs. Predator,Wireless,6.2,
6081,Good,Digimon Rumble Arena 2,PlayStation 2,7,
6082,Mediocre,Mobile Suit Gundam SEED: Battle Assault,Game Boy Advance,5.5,
6083,Okay,Wings of War,PC,6.6,
6084,Okay,Wings of War,Xbox,6.6,
6085,Amazing,The Sims 2,PC,9.4,
6086,Great,Guilty Gear X2 #Reload,Xbox,8.9,
6087,Okay,Asterix & Obelix: Kick Buttix,PlayStation 2,6.7,
6088,Okay,Rapala Pro Fishing,PlayStation 2,6.1,
6089,Okay,Rapala Pro Fishing,Xbox,6.1,
6090,Good,Terminator 3: The Redemption,Xbox,7.1,
6091,Good,Terminator 3: The Redemption,PlayStation 2,7.1,
6092,Good,Terminator 3: The Redemption,GameCube,7.1,
6093,Great,Gauntlet [1985],Wireless,8.2,
6094,Okay,Shaft Sharp Shooter,Wireless,6,
6095,Good,Anarchy Online: Alien Invasion,PC,7.9,
6096,Good,GunGrave: Overdose,PlayStation 2,7.8,
6097,Good,Digimon Racing,Game Boy Advance,7,
6098,Great,Silent Hill 4: The Room,PlayStation 2,8,
6099,Great,Silent Hill 4: The Room,Xbox,8,
6100,Okay,Aladdin,Game Boy Advance,6.5,
6101,Good,Crash Twinsanity,PlayStation 2,7.7,
6102,Amazing,Myst IV Revelation,PC,9,
6103,Bad,Power Rangers: DinoThunder,PlayStation 2,4.5,
6104,Good,Leisure Suit Larry: Magna Cum Laude,PlayStation 2,7.2,
6105,Mediocre,Mario Pinball Land,Game Boy Advance,5,
6106,Good,Leisure Suit Larry: Magna Cum Laude,Xbox,7.2,
6107,Good,Leisure Suit Larry: Magna Cum Laude,PC,7.2,
6108,Bad,Power Rangers: DinoThunder,GameCube,4.5,
6109,Great,The Incredibles,Wireless,8,
6110,Good,Bubble Bobble: Old and New,Game Boy Advance,7,
6111,Great,Mortal Kombat: Deception,Xbox,8.8,
6112,Good,kill.switch,Game Boy Advance,7.5,
6113,Mediocre,Marine Heavy Gunner: Vietnam,PC,5,
6114,Great,Mortal Kombat: Deception,PlayStation 2,8.8,
6115,Good,Knights of Honor,PC,7.7,
6116,Mediocre,Vietcong: Purple Haze,PlayStation 2,5,
6117,Amazing,Colin McRae Rally 2005,Xbox,9.1,
6118,Amazing,Unreal Tournament 2004 (Editor's Choice Edition),PC,9.4,
6119,Okay,"The Adventures of Jimmy Neutron, Boy Genius: Attack of the Twonkies",GameCube,6.5,
6120,Okay,Muscle Car Mayhem,Wireless,6.8,
6121,Good,Rocky Legends,PlayStation 2,7.1,
6122,Good,Hard Rock Casino,Wireless,7,
6123,Good,Rocky Legends,Xbox,7.1,
6124,Okay,"The Adventures of Jimmy Neutron, Boy Genius: Attack of the Twonkies",PlayStation 2,6.5,
6125,Amazing,Tiger Woods PGA Tour 2005,GameCube,9,
6126,Good,Shadow Ops: Red Mercury,PC,7,
6127,Great,Dance Dance Revolution Extreme,PlayStation 2,8,
6128,Great,Shin Megami Tensei: Nocturne,PlayStation 2,8.6,
6129,Okay,Blood Will Tell,PlayStation 2,6.8,
6130,Okay,Star Wars Trilogy: Apprentice of the Force,Game Boy Advance,6.5,
6131,Awful,Army Men: Sarge's War,PC,3.8,
6132,Amazing,Rome: Total War,PC,9.4,
6133,Amazing,Tiger Woods PGA Tour 2005,Xbox,9,
6134,Good,Yager [2003],Xbox,7.9,
6135,Okay,Dragon Ball Z: Buu's Fury,Game Boy Advance,6.5,
6136,Great,Kohan II: Kings of War,PC,8.6,
6137,Amazing,Tiger Woods PGA Tour 2005,PlayStation 2,9,
6138,Mediocre,ShellShock: Nam '67,Xbox,5.8,
6139,Great,"Warhammer 40,000: Dawn of War",PC,8.8,
6140,Mediocre,ShellShock: Nam '67,PC,5.8,
6141,Great,X-Men Legends,Xbox,8.4,
6142,Great,FOX Sports Football '05,Wireless,8,
6143,Great,X-Men Legends,PlayStation 2,8.4,
6144,Good,Monster Hunter,PlayStation 2,7.2,
6145,Great,F-Zero: GP Legend,Game Boy Advance,8,
6146,Great,NHL 2005,Xbox,8.3,
6147,Great,X-Men Legends,GameCube,8.4,
6148,Good,Technic Beat,PlayStation 2,7.5,
6149,Good,The Political Machine,PC,7.9,
6150,Good,Final Fantasy XI: Chains of Promathia,PC,7.5,
6151,Good,Evil Genius,PC,7.8,
6152,Great,Final Fantasy XI: Chains of Promathia,PlayStation 2,8,
6153,Great,ESPN NBA 2K5,Xbox,8.1,
6154,Amazing,Madden NFL 2005,PC,9.5,
6155,Mediocre,Starsky & Hutch,GameCube,5.5,
6156,Good,Sumo Wrestling,Wireless,7.4,
6157,Great,FIFA Soccer 2005,PlayStation 2,8.6,
6158,Great,FIFA Soccer 2005,Xbox,8.6,
6159,Okay,Shark Tale,PC,6.5,
6160,Great,Nano Kid,Wireless,8.5,
6161,Great,ESPN NBA 2K5,PlayStation 2,8,
6162,Mediocre,Marine Sharpshooter II: Jungle Warfare,PC,5,
6163,Awful,Bad Boys: Miami Takedown,Xbox,3.6,
6164,Awful,Bad Boys: Miami Takedown,PlayStation 2,3.6,
6165,Great,NBA Live 2005,PlayStation 2,8.9,
6166,Great,Townsmen,Wireless,8.5,
6167,Amazing,Tiger Woods PGA Tour 2005,PC,9,
6168,Great,NBA Live 2005,GameCube,8.8,
6169,Great,NBA Live 2005,Xbox,8.9,
6170,Great,Tony Hawk's Underground 2,PC,8.6,
6171,Okay,Rapala Pro Fishing,PC,6.1,
6172,Mediocre,Yu Yu Hakusho: Dark Tournament,PlayStation 2,5.9,
6173,Good,Armored Core: Nexus,PlayStation 2,7.5,
6174,Good,Shark Tale,GameCube,7,
6175,Good,Shark Tale,PlayStation 2,7,
6176,Good,Midway Arcade Treasures 2,PlayStation 2,7.8,
6177,Mediocre,Get On Da Mic,PlayStation 2,5.5,
6178,Okay,Ancient Ruins 1: The Crypt of the King,Wireless,6.3,
6179,Awful,Bad Boys: Miami Takedown,GameCube,3.6,
6180,Good,Magical Drop II,Wireless,7.2,
6181,Good,Crusader Kings,PC,7.6,
6182,Great,Full Spectrum Warrior,PC,8.8,
6183,Mediocre,Crash Nitro Kart,Wireless,5.8,
6184,Okay,Silent Hill 4: The Room,PC,6.9,
6185,Great,BloodRayne 2,PlayStation 2,8,
6186,Great,BloodRayne 2,Xbox,8,
6187,Bad,SD Gundam Force: Showdown!,PlayStation 2,4.5,
6188,Great,TOCA Race Driver 2,PlayStation 2,8.2,
6189,Painful,ChoroQ,PlayStation 2,2,
6190,Great,Midway Arcade Treasures 2,Xbox,8,
6191,Good,Shark Tale,Xbox,7,
6192,Good,Port Royale 2: Cartels Construction & Conquest,PC,7.5,
6193,Good,Midway Arcade Treasures 2,GameCube,7.9,
6194,Good,Crash Twinsanity,Xbox,7.7,
6195,Bad,The Dukes of Hazzard: Return of the General Lee,PlayStation 2,4.5,
6196,Bad,The Dukes of Hazzard: Return of the General Lee,Xbox,4.5,
6197,Mediocre,Chris Sawyer's Locomotion,PC,5.8,
6198,Great,Tony Hawk's Underground 2,PlayStation 2,8.6,
6199,Amazing,Shadow Hearts: Covenant,PlayStation 2,9.1,
6200,Great,Donkey Konga (with DK Bongos),GameCube,8.5,
6201,Great,5-Card Draw Multiplayer,Wireless,8.3,
6202,Good,Ty the Tasmanian Tiger 2: Bush Rescue,Xbox,7,
6203,Good,Ty the Tasmanian Tiger 2: Bush Rescue,PlayStation 2,7,
6204,Good,Ty the Tasmanian Tiger 2: Bush Rescue,GameCube,7,
6205,Okay,Under The Skin,PlayStation 2,6,
6206,Great,Tony Hawk's Underground 2,Wireless,8.8,
6207,Amazing,Paper Mario: The Thousand-Year Door,GameCube,9.1,
6208,Okay,Conflict: Vietnam,PlayStation 2,6.7,
6209,Good,Commando,Wireless,7,
6210,Great,Tak 2: The Staff of Dreams,Xbox,8.4,
6211,Okay,Aladdin,Game Boy Advance,6.5,
6212,Good,Crash Twinsanity,PlayStation 2,7.7,
6213,Amazing,Tribes: Vengeance,PC,9,
6214,Mediocre,Time Crisis: Crisis Zone,PlayStation 2,5,
6215,Good,Robotech: Invasion,Xbox,7.4,
6216,Great,Tak 2: The Staff of Dreams,PlayStation 2,8.4,
6217,Good,Robotech: Invasion,PlayStation 2,7.4,
6218,Great,Tak 2: The Staff of Dreams,GameCube,8.4,
6219,Okay,Conflict: Vietnam,Xbox,6.7,
6220,Great,Kingdom Under Fire: The Crusaders,Xbox,8.2,
6221,Great,Adventures of Sherlock Holmes: The Silver Earring,PC,8.3,
6222,Okay,SNK vs. Capcom: SVC Chaos,Xbox,6,
6223,Okay,The Incredibles (Arcade),Wireless,6.9,
6224,Great,FIFA Soccer 2005,GameCube,8.6,
6225,Okay,Ape Escape: Pumped & Primed,PlayStation 2,6.3,
6226,Great,The Bard's Tale,PlayStation 2,8.2,
6227,Great,The Bard's Tale,Xbox,8.2,
6228,Okay,Pax Athletica,Wireless,6.3,
6229,Great,Law & Order: Justice Is Served,PC,8.4,
6230,Great,Kirby & The Amazing Mirror,Game Boy Advance,8,
6231,Okay,Teenage Mutant Ninja Turtles 2: Battle Nexus,Xbox,6,
6232,Okay,Teenage Mutant Ninja Turtles 2: Battle Nexus,GameCube,6,
6233,Good,Men of Valor,Xbox,7.8,
6234,Okay,Teenage Mutant Ninja Turtles 2: Battle Nexus,PlayStation 2,6,
6235,Great,Baldur's Gate,Wireless,8.4,
6236,Great,Yourself!Fitness,Xbox,8.2,
6237,Good,The Saga of Ryzom,PC,7.5,
6238,Amazing,Jak 3,PlayStation 2,9.6,
6239,Good,Star Wars Galaxies: Jump to Lightspeed,PC,7.9,
6240,Good,Medal of Honor: Pacific Assault,PC,7.8,
6241,Okay,The Incredibles,GameCube,6.5,
6242,Okay,The Incredibles,Xbox,6.5,
6243,Great,Fatal Frame II: Crimson Butterfly (Director's Cut),Xbox,8.4,
6244,Okay,WANTED: A Wild Western Adventure,PC,6.5,
6245,Good,Neo Contra,PlayStation 2,7,
6246,Painful,Trigger Man,GameCube,2,
6247,Painful,Trigger Man,Xbox,2,
6248,Painful,Trigger Man,PlayStation 2,2,
6249,Great,Syberia II,Xbox,8.4,
6250,Okay,Wildfire,PC,6,
6251,Mediocre,Yu-Gi-Oh! Capsule Monster Coliseum,PlayStation 2,5.9,
6252,Okay,The Incredibles,PlayStation 2,6.5,
6253,Good,Pacific Fighters,PC,7.7,
6254,Good,Guilty Gear Isuka,PlayStation 2,7.2,
6255,Great,American McGee Presents Scrapland,PC,8.3,
6256,Mediocre,Nicktoons: Freeze Frame Frenzy,Game Boy Advance,5,
6257,Good,Sonic Mega Collection Plus,PlayStation 2,7.8,
6258,Good,Sonic Mega Collection Plus,Xbox,7.8,
6259,Good,KOF: Maximum Impact,PlayStation 2,7.4,
6260,Great,Otogi 2: Immortal Warriors,Xbox,8.4,
6261,Great,Wings of Power: WWII Heavy Bombers and Jets,PC,8.3,
6262,Amazing,EverQuest: Omens of War,PC,9,
6263,Good,Ghosts 'N Goblins [2004],Wireless,7.9,
6264,Mediocre,Tak 2: The Staff of Dreams,Game Boy Advance,5.5,
6265,Bad,SuperPower 2,PC,4.5,
6266,Good,Spyro: A Hero's Tail,GameCube,7,
6267,Good,Tron 2.0: Killer App,Xbox,7.8,
6268,Good,Spyro: A Hero's Tail,Xbox,7,
6269,Good,Duel Masters,PlayStation 2,7.4,
6270,Okay,Godzilla: Save the Earth,PlayStation 2,6.5,
6271,Okay,The Lord of the Rings: The Third Age,Game Boy Advance,6,
6272,Great,Axis & Allies,PC,8.4,
6273,Good,Spyro: A Hero's Tail,PlayStation 2,7,
6274,Okay,Super Collapse! II,Xbox,6.5,
6275,Great,Combat Over Europe,PC,8,
6276,Amazing,Viewtiful Joe 2,PlayStation 2,9,
6277,Amazing,Might and Magic,Wireless,9.1,
6278,Okay,Cabela's Big Game Hunter: 2005 Adventures,PlayStation 2,6.7,
6279,Great,Karaoke Revolution Vol. 3,PlayStation 2,8.5,
6280,Great,NBA Live 2005,PC,8.9,
6281,Great,Alien Hominid,GameCube,8.1,
6282,Great,Alien Hominid,PlayStation 2,8.1,
6283,Good,Immortal Cities: Children of the Nile,PC,7.9,
6284,Good,Ultra Bust-A-Move,Xbox,7.3,
6285,Good,The Urbz: Sims in the City,GameCube,7.5,
6286,Good,The Urbz: Sims in the City,Xbox,7.5,
6287,Okay,Outdoor Life: Sportsman's Challenge,PC,6.8,
6288,Good,The Urbz: Sims in the City,PlayStation 2,7.5,
6289,Great,Deer Hunter,Wireless,8.2,
6290,Good,EyeToy: AntiGrav,PlayStation 2,7.4,
6291,Good,Pitfall: The Lost Expedition,PC,7.8,
6292,Great,MTX: Mototrax,PC,8.3,
6293,Good,Rumble Roses,PlayStation 2,7.8,
6294,Awful,The Polar Express,GameCube,3.5,
6295,Amazing,Halo 2 (Limited Collector's Edition),Xbox,9.8,
6296,Awful,The Polar Express,PlayStation 2,3.5,
6297,Great,Mario Power Tennis,GameCube,8.5,
6298,Amazing,Halo 2,Xbox,9.8,
6299,Good,Ghost in the Shell: Stand Alone Complex,PlayStation 2,7,
6300,Good,Spyro: Ripto Quest,Wireless,7.9,
6301,Great,Donkey Kong Country 2,Game Boy Advance,8,
6302,Okay,Godzilla: Save the Earth,Xbox,6.5,
6303,Bad,Fight Club,PlayStation 2,4.5,
6304,Good,Samurai Warriors: Xtreme Legends,PlayStation 2,7.5,
6305,Good,Lemony Snicket's A Series of Unfortunate Events,Xbox,7.1,
6306,Great,Blue Blocks,Wireless,8.4,
6307,Bad,Fight Club,Xbox,4.5,
6308,Amazing,Half-Life 2,PC,9.7,
6309,Good,Forgotten Realms: Demon Stone,Xbox,7.3,
6310,Good,Lemony Snicket's A Series of Unfortunate Events,GameCube,7.1,
6311,Great,The Urbz: Sims in the City,Game Boy Advance,8,
6312,Great,Baten Kaitos: Eternal Wings and the Lost Ocean,GameCube,8.8,
6313,Amazing,Need for Speed Underground 2,Xbox,9.1,
6314,Good,JAMDAT Sports NBA 2005,Wireless,7.9,
6315,Amazing,Metroid Prime 2: Echoes,GameCube,9.5,
6316,Amazing,Need for Speed Underground 2,PlayStation 2,9,
6317,Amazing,Need for Speed Underground 2,PC,9.1,
6318,Great,Need for Speed Underground 2,GameCube,8.3,
6319,Great,Vans Skate & Slam feat. Geoff Rawley,Wireless,8,
6320,Good,Painkiller: Battle out of Hell,PC,7.5,
6321,Mediocre,Shaman King: Power of Spirit,PlayStation 2,5,
6322,Amazing,Viewtiful Joe 2,GameCube,9,
6323,Awful,Yu-Gi-Oh! Destiny Board Traveler,Game Boy Advance,3.5,
6324,Great,FIFA Soccer 2005,PC,8.6,
6325,Amazing,ATV Offroad Fury 3,PlayStation 2,9.2,
6326,Good,Zelda II: The Adventure of Link (Classic NES Series),Game Boy Advance,7,
6327,Okay,Metroid (Classic NES Series),Game Boy Advance,6,
6328,Good,Taiko Drum Master,PlayStation 2,7.7,
6329,Great,Grand Theft Auto,Game Boy Advance,8.5,
6330,Amazing,Dead or Alive Ultimate,Xbox,9.2,
6331,Bad,Athens 2004,PC,4.5,
6332,Great,Castlevania (Classic NES Series),Game Boy Advance,8,
6333,Good,Dr. Mario (Classic NES Series),Game Boy Advance,7,
6334,Okay,Men of Valor,PC,6.8,
6335,Mediocre,Atlantis Evolution,PC,5.5,
6336,Okay,WWE Survivor Series,Game Boy Advance,6,
6337,Amazing,Ace Combat 5: The Unsung War,PlayStation 2,9.3,
6338,Mediocre,Shade: Wrath of Angels,PC,5,
6339,Amazing,Grand Theft Auto: San Andreas,PlayStation 2,9.9,
6340,Good,Judge Dredd,Wireless,7.2,
6341,Okay,National Treasure,Wireless,6,
6342,Great,OutRun2,Xbox,8.2,
6343,Good,Outlaw Golf 2,Xbox,7.4,
6344,Good,Manchester United Club Football 2005,PC,7.7,
6345,Great,Scaler,Xbox,8,
6346,Great,Scaler,GameCube,8,
6347,Great,Scaler,PlayStation 2,8,
6348,Okay,Tony Hawk's Underground 2,Game Boy Advance,6.5,
6349,Great,TOCA Race Driver 2,PC,8.2,
6350,Great,The Lord of the Rings: The Third Age,GameCube,8.5,
6351,Great,The Lord of the Rings: The Third Age,PlayStation 2,8.5,
6352,Great,Hardwood Solitaire,Xbox,8,
6353,Bad,"Medieval Lords: Build, Defend, Expand",PC,4.5,
6354,Good,Ricochet: Lost Worlds,Xbox,7.5,
6355,Okay,GoldenEye: Rogue Agent,Xbox,6.5,
6356,Good,The Urbz: Sims in the City,Nintendo DS,7,
6357,Okay,GoldenEye: Rogue Agent,PlayStation 2,6.5,
6358,Great,Super Mario 64 DS,Nintendo DS,8.9,
6359,Amazing,Halo 4 (Game of the Year Edition),Xbox 360,9.8,
6360,Okay,Bejeweled,Xbox,6.5,
6361,Great,Chessmaster,Xbox,8.5,
6362,Great,Boktai 2: Solar Boy Django,Game Boy Advance,8,
6363,Mediocre,Namco Vintage,Xbox,5,
6364,Great,The Lord of the Rings: The Third Age,Xbox,8.5,
6365,Bad,Dangerous Mines,Xbox,4,
6366,Awful,Bicycle Casino,Xbox,3.7,
6367,Great,WWE SmackDown! vs. Raw,PlayStation 2,8.4,
6368,Good,SEGA Superstars,PlayStation 2,7,
6369,Mediocre,Asphalt: Urban GT,Nintendo DS,5.5,
6370,Mediocre,Backyard Wrestling 2: There Goes the Neighborhood,Xbox,5.6,
6371,Okay,King Arthur,Xbox,6.9,
6372,Okay,King Arthur,GameCube,6.9,
6373,Awful,IHRA Professional Drag Racing 2005,Xbox,3.1,
6374,Okay,King Arthur,PlayStation 2,6.9,
6375,Mediocre,Backyard Wrestling 2: There Goes the Neighborhood,PlayStation 2,5.6,
6376,Good,Killzone,PlayStation 2,7.5,
6377,Good,Tron 2.0: Killer App,Game Boy Advance,7.8,
6378,Amazing,Ratchet & Clank: Up Your Arsenal,PlayStation 2,9.6,
6379,Good,The SpongeBob SquarePants Movie,PlayStation 2,7.8,
6380,Good,Deer Hunter 2005,PC,7.3,
6381,Good,The SpongeBob SquarePants Movie,GameCube,7.8,
6382,Good,The SpongeBob SquarePants Movie,Xbox,7.8,
6383,Great,RollerCoaster Tycoon 3,PC,8.5,
6384,Okay,Hot Wheels: Stunt Track Challenge,PlayStation 2,6.5,
6385,Great,Tom Clancy's Classic Trilogy,Xbox,8,
6386,Great,NCAA March Madness 2005,PlayStation 2,8.6,
6387,Mediocre,Crash 'n' Burn,Xbox,5.5,
6388,Mediocre,Pinball Hall of Fame,GameCube,5.5,
6389,Okay,Ski Resort Extreme,PC,6.2,
6390,Good,Space Interceptor: Project Freedom,PC,7.8,
6391,Amazing,Colin McRae Rally 2005,PC,9.1,
6392,Amazing,Sid Meier's Pirates! Live the Life,PC,9.2,
6393,Awful,IHRA Professional Drag Racing 2005,PlayStation 2,3.1,
6394,Okay,The Incredibles,PC,6.5,
6395,Mediocre,Crash 'n' Burn,PlayStation 2,5.5,
6396,Great,ESPN College Hoops 2K5,Xbox,8.8,
6397,Okay,Conflict: Vietnam,PC,6.7,
6398,Great,Syberia II,PlayStation 2,8.4,
6399,Great,Mega Man Zero 3,Game Boy Advance,8,
6400,Great,Vampire: The Masquerade -- Bloodlines,PC,8.4,
6401,Great,Dragon Ball Z Budokai 3,PlayStation 2,8,
6402,Good,Blitzkrieg: Rolling Thunder,PC,7.7,
6403,Good,IF Racing Head 2 Head,Wireless,7.2,
6404,Mediocre,Pinball Hall of Fame,Xbox,5.5,
6405,Okay,Nicktoons Movin',PlayStation 2,6,
6406,Mediocre,Pinball Hall of Fame,PlayStation 2,5.5,
6407,Okay,The SpongeBob Squarepants Movie,Wireless,6.8,
6408,Good,Zoo Tycoon 2,PC,7.5,
6409,Good,Spider-Man 2,Nintendo DS,7.5,
6410,Good,Feel the Magic: XY/XX,Nintendo DS,7.8,
6411,Okay,Hot Wheels: Stunt Track Challenge,Xbox,6.5,
6412,Great,ESPN College Hoops 2K5,PlayStation 2,8.8,
6413,Great,NCAA March Madness 2005,Xbox,8.6,
6414,Good,Blinx 2: Masters of Time and Space,Xbox,7.9,
6415,Good,Call of Duty: Finest Hour,PlayStation 2,7.3,
6416,Amazing,Metal Gear Solid 3: Snake Eater,PlayStation 2,9.6,
6417,Good,Call of Duty: Finest Hour,Xbox,7.3,
6418,Okay,Capcom Fighting Evolution,PlayStation 2,6.8,
6419,Great,Karaoke Revolution [2004],Xbox,8.3,
6420,Good,Call of Duty: Finest Hour,GameCube,7,
6421,Great,Tom Clancy's Ghost Recon 2,Xbox,8.8,
6422,Good,Haunted Planet,Wireless,7.4,
6423,Great,Dance Dance Revolution Ultramix 2,Xbox,8.5,
6424,Good,Lemony Snicket's A Series of Unfortunate Events,PlayStation 2,7.1,
6425,Great,Final Fantasy I & II: Dawn of Souls,Game Boy Advance,8.5,
6426,Great,Vijay Singh Pro Golf 2005,Wireless,8.1,
6427,Awful,Monster Garage: The Game,Xbox,3,
6428,Okay,Mr. Driller Drill Spirits,Nintendo DS,6.5,
6429,Okay,Atari Anthology,Xbox,6,
6430,Okay,Atari Anthology,PlayStation 2,6,
6431,Great,EverQuest II,PC,8.5,
6432,Great,NHL 5-on-5 Hockey,Wireless,8.2,
6433,Great,Foosball,Wireless,8,
6434,Great,Prince of Persia: Warrior Within,PlayStation 2,8.5,
6435,Great,Prince of Persia: Warrior Within,GameCube,8.6,
6436,Great,Prince of Persia: Warrior Within,Xbox,8.7,
6437,Good,Outlaw Golf 2,PlayStation 2,7.1,
6438,Good,Madden NFL 2005,Nintendo DS,7,
6439,Okay,Teenage Mutant Ninja Turtles 2: Battle Nexus,PC,6,
6440,Unbearable,High Rollers Casino,Xbox,1,
6441,Good,Greg Hastings' Tournament Paintball,Xbox,7.8,
6442,Bad,I of the Dragon,PC,4.5,
